Code,Year,Population
AFG,1990,10694796
AFG,1991,10745167
AFG,1992,12057433
AFG,1993,14003760
AFG,1994,15455555
AFG,1995,16418912
AFG,1996,17106595
AFG,1997,17788819
AFG,1998,18493132
AFG,1999,19262847
AFG,2000,19542982
AFG,2001,19688632
AFG,2002,21000256
AFG,2003,22645130
AFG,2004,23553551
AFG,2005,24411191
AFG,2006,25442944
AFG,2007,25903301
AFG,2008,26427199
AFG,2009,27385307
AFG,2010,28189672
AFG,2011,29249157
AFG,2012,30466479
AFG,2013,31541209
AFG,2014,32716210
AFG,2015,33753499
AFG,2016,34636207
AFG,2017,35643418
AFG,2018,36686784
AFG,2019,37769499
ALB,1990,3286542
ALB,1991,3266790
ALB,1992,3247039
ALB,1993,3227287
ALB,1994,3207536
ALB,1995,3187784
ALB,1996,3168033
ALB,1997,3148281
ALB,1998,3128530
ALB,1999,3108778
ALB,2000,3089027
ALB,2001,3060173
ALB,2002,3051010
ALB,2003,3039616
ALB,2004,3026939
ALB,2005,3011487
ALB,2006,2992547
ALB,2007,2970017
ALB,2008,2947314
ALB,2009,2927519
ALB,2010,2913021
ALB,2011,2905195
ALB,2012,2900401
ALB,2013,2895092
ALB,2014,2889104
ALB,2015,2880703
ALB,2016,2876101
ALB,2017,2873457
ALB,2018,2866376
ALB,2019,2854191
DZA,1990,25518074
DZA,1991,26133905
DZA,1992,26748303
DZA,1993,27354327
DZA,1994,27937006
DZA,1995,28478022
DZA,1996,28984634
DZA,1997,29476031
DZA,1998,29924668
DZA,1999,30346083
DZA,2000,30774621
DZA,2001,31200985
DZA,2002,31624696
DZA,2003,32055883
DZA,2004,32510186
DZA,2005,32956690
DZA,2006,33435080
DZA,2007,33983827
DZA,2008,34569592
DZA,2009,35196037
DZA,2010,35856344
DZA,2011,36543541
DZA,2012,37260563
DZA,2013,38000626
DZA,2014,38760168
DZA,2015,39543154
DZA,2016,40339329
DZA,2017,41136546
DZA,2018,41927007
DZA,2019,42705368
ASM,1990,47818
ASM,1991,48992
ASM,1992,50078
ASM,1993,51174
ASM,1994,52288
ASM,1995,53401
ASM,1996,54500
ASM,1997,55578
ASM,1998,56603
ASM,1999,57594
ASM,2000,58230
ASM,2001,58324
ASM,2002,58177
ASM,2003,57941
ASM,2004,57626
ASM,2005,57254
ASM,2006,56837
ASM,2007,56383
ASM,2008,55891
ASM,2009,55366
ASM,2010,54849
ASM,2011,54310
ASM,2012,53691
ASM,2013,52995
ASM,2014,52217
ASM,2015,51368
ASM,2016,50448
ASM,2017,49463
ASM,2018,48424
ASM,2019,47321
AND,1990,53569
AND,1991,55434
AND,1992,57283
AND,1993,59156
AND,1994,61037
AND,1995,62928
AND,1996,64147
AND,1997,64682
AND,1998,65186
AND,1999,65655
AND,2000,66097
AND,2001,67820
AND,2002,70849
AND,2003,73907
AND,2004,76933
AND,2005,79826
AND,2006,80221
AND,2007,78168
AND,2008,76055
AND,2009,73852
AND,2010,71519
AND,2011,70567
AND,2012,71013
AND,2013,71367
AND,2014,71621
AND,2015,71746
AND,2016,72540
AND,2017,73837
AND,2018,75013
AND,2019,76343
AGO,1990,11828638
AGO,1991,12228691
AGO,1992,12632507
AGO,1993,13038270
AGO,1994,13462031
AGO,1995,13912253
AGO,1996,14383350
AGO,1997,14871146
AGO,1998,15366864
AGO,1999,15870753
