Country/Territory,Meningitis,Alzheimer's Disease and Other Dementias,Parkinson's Disease,Nutritional Deficiencies,Malaria,Drowning,Interpersonal Violence,Maternal Disorders,HIV/AIDS,Drug Use Disorders,Tuberculosis,Cardiovascular Diseases,Lower Respiratory Infections,Neonatal Disorders,Alcohol Use Disorders,Self-harm,Exposure to Forces of Nature,Diarrheal Diseases,Environmental Heat and Cold Exposure,Neoplasms,Conflict and Terrorism,Diabetes Mellitus,Chronic Kidney Disease,Poisonings,Protein-Energy Malnutrition,Road Injuries,Chronic Respiratory Diseases,Cirrhosis and Other Chronic Liver Diseases,Digestive Diseases,"Fire, Heat, and Hot Substances",Acute Hepatitis,Country Income Category,Current Amount of Aid Given by US ($USD),Constant Amount of Aid Given by US ($USD),Longitude,Latitude
Afghanistan,78666,41998,13397,71453,13924,56536,108228,129621,4282,7094,147637,1607042,822179,697534,3257,37054,16770,245832,2187,469611,280520,93207,134676,14530,70163,208331,209857,98419,186959,13559,98108,Low Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income Country,115645119019,146616021050,67.709953,33.93911
Albania,1216,16189,4398,532,0,2250,5065,220,56,629,547,263902,24262,14696,448,4462,89,601,159,99961,2145,3955,7395,487,491,8127,21626,8391,14259,605,40,Upper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income Country,1088764836,1619405297,20.168331,41.153332
Algeria,15685,86914,22943,7138,70,24273,16702,29475,6101,10612,18089,2123720,179379,395714,2748,44966,4032,34410,1041,469379,30947,89035,154666,12337,6407,369395,168453,91927,146527,27628,10492,Upper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income Country,219874949,278663205,1.659626,28.033886
Angola,110893,17704,4486,235181,317069,34337,20795,61545,244358,1190,473636,525047,564508,554921,4289,40895,742,810148,3520,237225,54203,73366,49080,14022,229863,241350,101847,119381,190974,15712,14431,Lower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income Country,2045530468,2981921238,17.873887,-11.202692
Antigua and Barbuda,40,428,117,87,0,120,119,0,258,6,11,5264,779,253,138,65,39,62,0,3004,1,1329,693,8,84,187,246,301,566,60,0,High Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income Country,34875914,54270150,-61.796428,17.060816
Argentina,17548,261721,68278,44066,123,24300,72506,12521,48615,1535,30389,2836128,697414,173947,27147,127809,425,23155,1567,2113666,773,278201,357513,8654,41935,172081,463952,201480,422716,20991,1732,Upper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income Country,203795319,306830081,-63.616672,-38.416097
Armenia,376,14991,3584,702,5,3887,4841,324,262,215,3603,366568,16541,12357,2404,6093,13,2647,3792,145692,332,33501,7428,1017,277,9106,33243,23253,37016,2493,139,Upper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income Country,2132391618,3192623342,45.038189,40.069099
Australia,715,118870,26527,1944,0,2869,4386,220,1732,11562,1150,650517,44952,8439,7043,37364,110,2468,609,624976,34,52332,53618,632,1547,23608,125404,26001,75825,1771,144,High Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income Country,2512844,3235666,133.775136,-25.274398
Austria,678,58936,13593,156,0,1388,1404,71,1312,2617,1444,589982,19220,3265,6505,27105,152,1016,554,359061,16,33836,34211,513,25,14327,48671,34565,59926,893,52,High Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income Country,17929450,23812459,14.550072,47.516231
Azerbaijan,3766,22445,6686,1681,26,11262,16340,1365,1101,782,27702,953204,121550,73577,6090,8877,208,13401,3818,242177,3358,42003,27405,2587,1264,21213,51742,73163,95336,12767,1170,Upper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income Country,1120221989,1578508916,47.576927,40.143105
